model,threshold_label,threshold,accuracy,balanced_accuracy,f1,precision,recall,mcc,predicted_positive_rate,roc_auc,average_precision
extra_trees,0.50,0.5,0.8747492118085411,0.7405444491909948,0.4950895436164067,0.4379151762902402,0.5694352159468439,0.4297617527806923,0.14022642591000287,0.8670908499524114,0.4971820580279445
extra_trees,base_rate,0.10783892232731442,0.5329607337345944,0.7192695032300706,0.3064481804639285,0.18244013683010263,0.9568106312292359,0.27441873584319354,0.5655631986242476,0.8670908499524114,0.4971820580279445
extra_trees,best_f1,0.56,0.8879335053023789,0.7263203451883543,0.5003194888178913,0.48184615384615387,0.520265780730897,0.4377217506536337,0.11643737460590427,0.8670908499524114,0.4971820580279445
extra_trees,best_balanced_accuracy,0.25,0.7253511034680424,0.7824056881046793,0.4017480880287186,0.26254589963280295,0.8551495016611296,0.36700070921389605,0.3512467755803955,0.8670908499524114,0.4971820580279445
extra_trees,best_mcc,0.63,0.8987532244196045,0.7078503614567777,0.4973319103521878,0.5352220520673813,0.46445182724252493,0.4427252532657634,0.09357982229865291,0.8670908499524114,0.4971820580279445
extra_trees,recall_at_least_0.80,0.29000000000000004,0.7631842934938378,0.7811195300861771,0.422707423580786,0.28672985781990523,0.8039867109634552,0.3797037377476897,0.3023789051304099,0.8670908499524114,0.4971820580279445
lightgbm,0.50,0.5,0.8242333046718258,0.7797012928553685,0.4700799308705984,0.34827144686299616,0.7229235880398671,0.4162794745685745,0.2238463743192892,0.8746186713044704,0.5069362207887586
lightgbm,base_rate,0.10783892232731442,0.560475781026082,0.7370264993592157,0.32070874861572535,0.1924252491694352,0.9621262458471761,0.2949882773573638,0.5391946116365721,0.8746186713044704,0.5069362207887586
lightgbm,best_f1,0.66,0.882774433935225,0.7441658744137484,0.5107655502392344,0.46438281674823273,0.5674418604651162,0.44781321837387705,0.13177128116938952,0.8746186713044704,0.5069362207887586
lightgbm,best_balanced_accuracy,0.36000000000000004,0.7525795356835769,0.78685897222094,0.4199563245422476,0.2810251798561151,0.8305647840531561,0.3818931112319707,0.3187159644597306,0.8746186713044704,0.5069362207887586
lightgbm,best_mcc,0.66,0.882774433935225,0.7441658744137484,0.5107655502392344,0.46438281674823273,0.5674418604651162,0.44781321837387705,0.13177128116938952,0.8746186713044704,0.5069362207887586
lightgbm,recall_at_least_0.80,0.39,0.7670535970192032,0.7829959621116771,0.4265302522490739,0.2903458213256484,0.8033222591362126,0.3836980024691687,0.29836629406706794,0.8746186713044704,0.5069362207887586
xgboost,0.50,0.5,0.796073373459444,0.7902055926340891,0.4529027297193387,0.3186367324857993,0.7827242524916943,0.4079706304141796,0.2649039839495557,0.8782618962679218,0.5118321482813546
xgboost,base_rate,0.10783892232731442,0.49699054170249357,0.7087487402444826,0.2956050571944612,0.17409289682070678,0.9787375415282392,0.2650510503338719,0.606262539409573,0.8782618962679218,0.5118321482813546
xgboost,best_f1,0.7100000000000001,0.8904413872169676,0.7376561836685521,0.5165981662978185,0.4927623642943305,0.5428571428571428,0.4556590218992248,0.11880194898251648,0.8782618962679218,0.5118321482813546
xgboost,best_balanced_accuracy,0.46,0.7719977070793924,0.7927764678069594,0.436614730878187,0.2976104272266474,0.8192691029900332,0.39753755568068433,0.2968615649183147,0.8782618962679218,0.5118321482813546
xgboost,best_mcc,0.77,0.9001146460303812,0.717959544270684,0.5119047619047619,0.5410806809770541,0.4857142857142857,0.45727467931413984,0.0968042419031241,0.8782618962679218,0.5118321482813546
xgboost,recall_at_least_0.80,0.48000000000000004,0.7827457724276297,0.7912062994579949,0.44326110907087773,0.3062674448109617,0.8019933554817276,0.40130302503084925,0.28238750358268844,0.8782618962679218,0.5118321482813546
hgb_labelcoded,0.50,0.5,0.792633992548008,0.7917828585730482,0.45127038301099737,0.31573361634385777,0.7906976744186046,0.4076842325011395,0.27006305531670965,0.8792052887184874,0.5011765245304683
hgb_labelcoded,base_rate,0.10783892232731442,0.49863857838922326,0.7093802923406598,0.29614726888642995,0.17449027975343764,0.9780730897009967,0.26564297761025035,0.6044711951848667,0.8792052887184874,0.5011765245304683
hgb_labelcoded,best_f1,0.7100000000000001,0.8909429635998853,0.7364769431053451,0.5162110616656072,0.4948202315661182,0.5395348837209303,0.4554258381707305,0.11758383490971624,0.8792052887184874,0.5011765245304683
hgb_labelcoded,best_balanced_accuracy,0.5,0.792633992548008,0.7917828585730482,0.45127038301099737,0.31573361634385777,0.7906976744186046,0.4076842325011395,0.27006305531670965,0.8792052887184874,0.5011765245304683
hgb_labelcoded,best_mcc,0.7100000000000001,0.8909429635998853,0.7364769431053451,0.5162110616656072,0.4948202315661182,0.5395348837209303,0.4554258381707305,0.11758383490971624,0.8792052887184874,0.5011765245304683
hgb_labelcoded,recall_at_least_0.80,0.48000000000000004,0.7802378905130409,0.7912611323431039,0.44144964487342925,0.30406422478675366,0.8053156146179402,0.4000061508241128,0.28561192318715967,0.8792052887184874,0.5011765245304683
catboost_native,0.50,0.5,0.8118372026368587,0.7861892105425361,0.4634246015529219,0.33461197993508407,0.7534883720930232,0.41403969567531773,0.24283462310117512,0.8783187036705481,0.5117428445407711
catboost_native,base_rate,0.10783892232731442,0.5043708799082832,0.7123008172101082,0.2984075464043006,0.17608331338281064,0.9774086378737542,0.2686787012872301,0.5985955861278304,0.8783187036705481,0.5117428445407711
catboost_native,best_f1,0.74,0.8947406133562625,0.7254622038657317,0.5108225108225108,0.5120160213618158,0.5096345514950166,0.4518497435196533,0.10733734594439667,0.8783187036705481,0.5117428445407711
catboost_native,best_balanced_accuracy,0.4,0.7568787618228718,0.7918970337143529,0.42598545085433936,0.28574670903313665,0.8365448504983388,0.38958848466812906,0.3157065061622241,0.8783187036705481,0.5117428445407711
catboost_native,best_mcc,0.78,0.9008311837202637,0.7125197485105067,0.5067712045616536,0.5465026902382782,0.47242524916943524,0.45345054944644503,0.09322155345371166,0.8783187036705481,0.5117428445407711
catboost_native,recall_at_least_0.80,0.44,0.7797363141301232,0.7895196879408477,0.43986880466472306,0.30303791112226963,0.8019933554817276,0.39770440515921446,0.2853969618801949,0.8783187036705481,0.5117428445407711
rank_ensemble,0.50,0.5,0.5973058182860419,0.7532863842875367,0.337732736271506,0.20527145108150693,0.9521594684385382,0.3142543381204513,0.5002149613069647,0.8807351662370313,0.5231559009872208
rank_ensemble,base_rate,0.10783892232731442,0.20149039839495558,0.551317470130753,0.21221546726989962,0.11874060596471799,0.9973421926910299,0.10897126897896868,0.9057752937804529,0.8807351662370313,0.5231559009872208
rank_ensemble,best_f1,0.88,0.895457151046145,0.7334575589466856,0.5208538587848933,0.5149350649350649,0.5269102990033223,0.46222889420877206,0.11034680424190313,0.8807351662370313,0.5231559009872208
rank_ensemble,best_balanced_accuracy,0.73,0.7976497563771855,0.7937176722786545,0.45671412081569834,0.3214189006227999,0.7887043189368771,0.4130509464865158,0.26461736887360277,0.8807351662370313,0.5231559009872208
rank_ensemble,best_mcc,0.88,0.895457151046145,0.7334575589466856,0.5208538587848933,0.5149350649350649,0.5269102990033223,0.46222889420877206,0.11034680424190313,0.8807351662370313,0.5231559009872208
rank_ensemble,recall_at_least_0.80,0.7100000000000001,0.7810260819719117,0.7919949324274744,0.4425392192630427,0.3050037716872014,0.8059800664451827,0.4012863338512571,0.28496703926626543,0.8807351662370313,0.5231559009872208
